"Source:","/Users/dcunhrya/Documents/Pratt 2023 Spring/MEDesign/BreathalyzerPCB/BAC-on-Track/BreathalyzerPCB.kicad_sch"
"Date:","Sunday, March 26, 2023 at 02:52:53 PM"
"Tool:","Eeschema (6.0.10-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","28"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT101, BT102, ","2","3V","Battery","","Multiple-cell battery",""
"D101, ","1","LED_RGB","LED_RGB","","RGB LED, 6 pin package",""
"D102, ","1","LED","LED","","Light emitting diode",""
"F101, ","1","Fuse","Fuse","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Fuse",""
"H101, H102, H103, ","3","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3","Mounting Hole without connection",""
"J101, ","1","Power Switch","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J102, ","1","Battery","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J103, ","1","RGBConn","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J104, ","1","Read LED","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J105, ","1","MQ3","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J106, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","DC Barrel Jack with an internal switch",""
"R101, R102, R103, R104, ","4","220","R_Small_US","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small US symbol",""
"SW101, ","1","SW_SPST","SW_SPST","","Single Pole Single Throw (SPST) switch",""
"TP101, ","1","GND","TestPoint_Flag","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative flag-style design)",""
"TP102, ","1","AnalogMQ3","TestPoint_Flag","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative flag-style design)",""
"TP103, ","1","VCC","TestPoint_Flag","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative flag-style design)",""
"TP104, ","1","BattLED1Test","TestPoint_Flag","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative flag-style design)",""
"TP105, ","1","BattLED2Test","TestPoint_Flag","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative flag-style design)",""
"TP106, ","1","BattLED3Test","TestPoint_Flag","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative flag-style design)",""
"U101, ","1","MAX6105","MAX6105","Package_TO_SOT_SMD:SOT-23","Low-dropout high current voltage reference, 5.000V, Â±0.4% accuracy, SOT-23",""
"U102, ","1","ABX00030","ABX00030","ABX00030:MODULE_ABX00030","",""
"U103, ","1","MQ3","SEN-08880","XDCR_SEN-08880","",""
